stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
769,PA3,JOSE MARIA COSSIO 54,Parada,43.4589195936725,-3.84840117496617,,,,,Europe/Madrid
1025,PA4,JOSE MARIA COSSIO 33,Parada,43.459326389629,-3.8461193365804,,,,,Europe/Madrid
1281,PA5,JOSE MARIA COSSIO 17,Parada,43.4596061342151,-3.84301381297322,,,,,Europe/Madrid
1537,PA6,JOSE MARIA COSSIO 1,Parada,43.459629674041,-3.84079557539354,,,,,Europe/Madrid
1793,PA7,MANUEL LLANO,Parada,43.4578768000652,-3.84107918534354,,,,,Europe/Madrid
2049,PA8,INSTITUTO TORRES QUEVEDO,Parada,43.4569344244486,-3.83638964042915,,,,,Europe/Madrid
130305,PA509,INTERCAMBIADOR DE VALDECILLA,Parada,43.4566394119201,-3.83128342183414,,,,,Europe/Madrid
2305,PA9,VALDECILLA,Parada,43.4573101689131,-3.82999054771633,,,,,Europe/Madrid
2561,PA10,CUATRO CAMINOS,Parada,43.4586865202311,-3.82529481614416,,,,,Europe/Madrid
2817,PA11,SAN FERNANDO,Parada,43.4601776312416,-3.81986307950338,,,,,Europe/Madrid
130561,PA510,JESÚS DE MONASTERIO 7,Parada,43.46157552506,-3.81066118270617,,,,,Europe/Madrid
3585,PA14,CORREOS,Parada,43.4614051249176,-3.80644019414584,,,,,Europe/Madrid
3841,PA15,JARDINES DE PEREDA,Parada,43.4616495090191,-3.80344664802017,,,,,Europe/Madrid
4097,PA16,PUERTO CHICO,Parada,43.4621022682274,-3.79732142526089,,,,,Europe/Madrid
4353,PA17,CASTELAR,Parada,43.4626716846653,-3.79283085986792,,,,,Europe/Madrid
4609,PA18,REINA VICTORIA 18,Parada,43.4633627879886,-3.78823065872432,,,,,Europe/Madrid
4865,PA19,AVENIDA REINA VICTORIA,Parada,43.46445030939,-3.78272859377846,,,,,Europe/Madrid
5121,PA20,AVENIDA REINA VICTORIA 38,Parada,43.4662395950059,-3.77932099025725,,,,,Europe/Madrid
5377,PA21,LA MAGDALENA,Parada,43.4686493773333,-3.7763605039088,,,,,Europe/Madrid
5633,PA22,LUIS MARTINEZ,Parada,43.4710159523902,-3.77849381912169,,,,,Europe/Madrid
5889,PA23,PLAZA DE ITALIA 3,Parada,43.4720536947027,-3.78205512886565,,,,,Europe/Madrid
6145,PA24,PARQUE PIQUIO,Parada,43.4742145232056,-3.78502539849094,,,,,Europe/Madrid
6401,PA25,DOCTOR FLEMING,Parada,43.4755655820446,-3.78811765379358,,,,,Europe/Madrid
132353,PA517,LOS AGUSTINOS,Parada,43.4774852973085,-3.79058043887576,,,,,Europe/Madrid
50433,PA197,VALDENOJA 32,Parada,43.4812511418939,-3.78965478407176,,,,,Europe/Madrid
50689,PA198,VALDENOJA 50,Parada,43.4808982609753,-3.79310223946237,,,,,Europe/Madrid
50945,PA199,MANUEL GONZALEZ HOYOS 7,Parada,43.4806535051144,-3.79580012698015,,,,,Europe/Madrid
85249,PA333,CONSUELO BERGÉS 22,Parada,43.4784644298648,-3.801324966973,,,,,Europe/Madrid
83457,PA326,JOSE MARIA GONZALEZ TREVILLA 4,Parada,43.4817940797883,-3.79608331169151,,,,,Europe/Madrid
119809,PA468,VICENTE TRUEBA,Parada,43.4599094210902,-3.8565770695175,,,,,Europe/Madrid
120065,PA469,BARRIO LA SIERRA 10,Parada,43.4612568333169,-3.85787179359787,,,,,Europe/Madrid
85505,PA334,JULIO JAURENA ,Parada,43.4629082178279,-3.86583731735434,,,,,Europe/Madrid
84737,PA331,CORBAN,Parada,43.4647284978482,-3.86733637209875,,,,,Europe/Madrid
78081,PA305,CARREFOUR PEÑACASTILLO,Parada,43.4451232622513,-3.85345702616697,,,,,Europe/Madrid
78337,PA306,FRANCISCO RIVAS MORENO,Parada,43.4467312119757,-3.85094912471614,,,,,Europe/Madrid
78593,PA307,NUEVO PARQUE,Parada,43.4457938486442,-3.84828612544158,,,,,Europe/Madrid
78849,PA308,SAN MARTÍN DEL PINO 13,Parada,43.4436820061011,-3.85239919674582,,,,,Europe/Madrid
141057,PA551,MARIA GUERRERO,Parada,43.4425647473748,-3.85499268787259,,,,,Europe/Madrid
125953,PA492,CENTRO DE SALUD NUEVA MONTAÑA,Parada,43.4398133401039,-3.85531352239201,,,,,Europe/Madrid
126209,PA493,GERTRUDIS GOMEZ DE AVELLANEDA,Parada,43.4385883917275,-3.85345880935744,,,,,Europe/Madrid
126465,PA494,EUSEBIO SANTAMARIA 1,Parada,43.441156559909,-3.85122908298549,,,,,Europe/Madrid
79105,PA309,SANTIAGO EL MAYOR,Parada,43.4397296030698,-3.84757561556241,,,,,Europe/Madrid
79361,PA310,FRANCISCO TOMÁS Y VALIENTE 23,Parada,43.4390184279212,-3.84413381184998,,,,,Europe/Madrid
79617,PA311,FRANCISCO TOMÁS Y VALIENTE 11,Parada,43.4391689924877,-3.84214199587331,,,,,Europe/Madrid
27649,PA108,PUENTE LA MARGA,Parada,43.4526176058763,-3.82765440355925,,,,,Europe/Madrid
114945,PA449,VALDECILLA SUR,Parada,43.454573785179,-3.82739285291464,,,,,Europe/Madrid
27905,PA109,JERONIMO SAINZ DE LA MAZA 9,Parada,43.4559699259931,-3.82695320189652,,,,,Europe/Madrid
3073,PA12,JESUS DE MONASTERIO 21,Parada,43.461651692403,-3.81234941999379,,,,,Europe/Madrid
84993,PA332,CRUCE CON RUCANDIAL,Parada,43.4627868168786,-3.86588799795834,,,,,Europe/Madrid
119297,PA466,BARRIO LA SIERRA,Parada,43.4608466113072,-3.85856588941355,,,,,Europe/Madrid
119553,PA467,VICENTE TRUEBA 19,Parada,43.4599934327099,-3.85673301735152,,,,,Europe/Madrid
113665,PA444,PASEO DE PEREDA 35,Parada,43.4623320640085,-3.79800433556035,,,,,Europe/Madrid
19713,PA77,CALVO SOTELO 1,Parada,43.4614154631293,-3.80924576018479,,,,,Europe/Madrid
19969,PA78,CAJO 2,Parada,43.4552822774296,-3.83280675918089,,,,,Europe/Madrid
20225,PA79,CAJO 10,Parada,43.4546077394353,-3.83492157402147,,,,,Europe/Madrid
20481,PA80,PARQUE DOCTOR MORALES,Parada,43.454213096534,-3.83831550476073,,,,,Europe/Madrid
20737,PA81,LAS CALIFORNAS,Parada,43.4544772888532,-3.84288210376357,,,,,Europe/Madrid
20993,PA82,CAMPOGIRO 90,Parada,43.4530509721926,-3.84693247111274,,,,,Europe/Madrid
21249,PA83,ALTO DE LA PEÑA,Parada,43.4511174086301,-3.84913992607301,,,,,Europe/Madrid
21505,PA84,EL EMPALME 6,Parada,43.4489465768797,-3.85287653857613,,,,,Europe/Madrid
21761,PA85,LOS LLANOS,Parada,43.4480444575549,-3.85790423479222,,,,,Europe/Madrid
22017,PA86,ESCUELAS PEÑACASTILLO,Parada,43.4475629363888,-3.86060804104441,,,,,Europe/Madrid
22273,PA87,CALLE LA PEÑA,Parada,43.4478033562042,-3.86367577951241,,,,,Europe/Madrid
