route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
62,24062ILA_6202,24062ILA_6202_3,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_4,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_5,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_6,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_7,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_8,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_9,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_10,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_11,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_12,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_13,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_14,COMPLEJO RUTH BEITIA,0,,Route_367
71,24071ILA_7101,24071ILA_7101_2,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_3,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_4,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_5,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_6,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_7,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_8,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_9,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_10,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_11,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_12,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_13,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_14,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_15,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_16,L.QUINTANILLA,0,,Route_195
71,24071ILA_7101,24071ILA_7101_17,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_2,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_3,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_4,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_5,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_6,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_7,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_8,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_9,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_10,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_11,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_12,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_13,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_14,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_15,L.QUINTANILLA,0,,Route_195
71,24071ILA_7102,24071ILA_7102_16,L.QUINTANILLA,0,,Route_195
71,24071ILA_7103,24071ILA_7103_2,L.QUINTANILLA,0,,Route_195
71,24071ILA_7103,24071ILA_7103_3,L.QUINTANILLA,0,,Route_195
